N,P_S,T_a,P_C,P_S_error,T_a_error,P_C_error,M,I_max
5,0.0,0,1.0,100.0,100.0,4.328423573731897e-06,100,10
6,1.6666666666666668e-07,7.2,0.9999997222222223,71.15381757786172,30.908913164137225,7.429627253201457e-05,100,10
7,2.4333333333333335e-06,5.780821917808219,0.9999962857142859,61.06033018701578,5.10454415516066,0.0005837788624001085,100,10
8,1.6933333333333333e-05,5.419291338582677,0.9999771666666667,54.57031630762364,1.473765020431495,0.002748763505858976,100,10
9,8.753333333333334e-05,5.405736137667304,0.9998952592592592,41.470848806289226,1.7361752876062977,0.007640195345139257,100,10
10,0.00029563333333333333,5.488316151202749,0.9996777333333335,35.002219872268505,0.273654509083011,0.01781514307069863,100,10
11,0.0008065666666666667,5.513542608620764,0.9991946666666668,28.717267336890973,0.10882814840797343,0.03368989773685012,100,10
12,0.0018226000000000004,5.490055652313174,0.9983133888888891,24.777883000071398,0.44586699984292205,0.05763841722856925,100,10
13,0.0036511666666666663,5.508746924902106,0.9968526410256412,21.091241461644774,0.30317684280632723,0.08791391423401256,100,10
14,0.006640533333333333,5.5409713415349495,0.9946357619047619,17.841731747306945,0.0024743620668606224,0.12283596618617647,100,10
15,0.011125033333333334,5.55603636983336,0.9915337555555555,15.445444209609063,0.09306610587647707,0.16454272940080356,100,10
16,0.017580699999999998,5.58072649526773,0.98734125,13.136436720809966,0.11284902112830829,0.20638381362048636,100,10
17,0.026295466666666666,5.610646531150322,0.9820262941176472,11.567339403410921,0.14050301255912895,0.2584520670735641,100,10
18,0.037797533333333334,5.65259862882062,0.975361611111111,10.149321566029117,0.05759347922817726,0.3106609249757336,100,10
19,0.052458833333333336,5.69336155613089,0.9672930175438597,9.050018638670899,0.09855199491544937,0.37079547908202704,100,10
20,0.07098736666666666,5.740580556741087,0.9575467000000001,7.853746101806368,0.12563023206411117,0.4247329926218146,100,10
21,0.09369026666666667,5.795480397430609,0.9460514126984128,6.9055044162805475,0.11432138669265161,0.480634308495135,100,10
22,0.12115353333333333,5.8559854755764835,0.9326339545454545,6.09174881066156,0.09537299791373893,0.5380611965307217,100,10
23,0.15409946666666668,5.920708033836744,0.9170469855072464,5.293192673271155,0.08408385027862665,0.5909121453019811,100,10
24,0.19284453333333335,5.9905806809569935,0.8992556944444444,4.680381386810444,0.05271824397575901,0.6592015354038202,100,10
25,0.23821849999999997,6.064049688650407,0.8787822133333333,4.09327459414594,0.010720507967273293,0.7167817488254683,100,10
26,0.29100746666666666,6.138847025360948,0.8553565256410255,3.460625429891811,0.02835867164114752,0.7614630541210383,100,10
27,0.35131026666666665,6.2140135828108045,0.8287916913580248,2.9088024008239737,0.08256655395869471,0.8007737398034028,100,10
28,0.41908853333333335,6.283000322204164,0.7988775,2.454081033295211,0.0935291232732615,0.8360846037715466,100,10
29,0.4940665333333333,6.345391462026454,0.765411,2.0387546876175344,0.11956575017637405,0.8580807758190229,100,10
30,0.5747420666666666,6.393086020514438,0.7283369333333333,1.6943024188158888,0.11817086544402082,0.8515210959456956,100,10
31,0.6577327666666666,6.419882374469557,0.6884383655913979,1.5335777746080377,0.1017407919589317,0.8777444703660845,100,10
32,0.7395813,6.415661949429584,0.64599203125,1.4336062295146839,0.0431706226681924,0.8720171482581172,100,10
33,0.8138232666666667,6.371753374613989,0.602918292929293,1.531446278807939,0.05288685934270741,0.9521151396136416,100,10
34,0.8769570666666666,6.2820460590214875,0.5600173137254901,1.559632200316083,0.160916710095614,1.0097287423320325,100,10
35,0.9246739666666665,6.146168215685659,0.5192660761904762,1.5594733202701527,0.22832237793361426,1.1243322893905066,100,10
36,0.9577306666666667,5.971351020707273,0.4813914166666666,1.3589727642531584,0.1920080875611985,1.2172779308597959,100,10
37,0.9781968,5.767771546474091,0.4466688468468469,1.0199986598051474,0.07528811912513814,1.2237007803643178,100,10
38,0.9896041333333333,5.54945328686037,0.4151949298245614,0.652685086897351,0.06630935407738917,1.1565351462786593,100,10
39,0.9954039666666669,5.333531156305713,0.38701499145299145,0.35513197037448446,0.24177330923587018,1.1020250146403041,100,10
40,0.9980594333333332,5.123628212823043,0.3615376416666667,0.17149293172449334,0.3132857799359339,1.0120907545894418,100,10
41,0.9992158,4.928733412767083,0.3386522601626016,0.07455085115351003,0.3632949621344772,0.9557489835757299,100,10
42,0.9996925333333334,4.747433569721927,0.3179312777777778,0.030221992380623914,0.3551573919512593,0.9033552788521735,100,10
43,0.9998819333333335,4.579507914618099,0.2989700697674419,0.011750475803669872,0.30739575246547357,0.808331916975087,100,10
44,0.9999548,4.424871220911422,0.28171789393939395,0.004515243337467063,0.2511544594831079,0.7250133151446234,100,10
45,0.9999818000000001,4.283935261839891,0.26610482222222226,0.0018196808820098017,0.23078867276647305,0.7021920740727915,100,10
