N,M,I_max,P_S,T_a,P_C,CI_P_S,CI_T_a,CI_P_C,num_samples
30,10,10,1.0,1.2896999999999998,0.0046240000000000005,0.0,0.004311015878606805,6.861170175751525e-05,10000
30,20,10,1.0,1.613365,0.018632,0.0,0.004364648776463463,0.00013478271163676743,10000
30,30,10,1.0,1.9895233333333333,0.04303,0.0,0.004716076405742572,0.00021423873918390932,10000
30,40,10,1.0,2.4506175,0.080273,0.0,0.005230448530230557,0.00030791061712672396,10000
30,50,10,1.0,3.02125,0.13347066666666668,0.0,0.006082455639854679,0.00043533332362748325,10000
30,60,10,1.0,3.7256883333333333,0.20592799999999997,0.0,0.007159155405922343,0.0005906519735560621,10000
30,70,10,0.9997728571428571,4.609463015670312,0.3026726666666667,5.2865297653564776e-05,0.00862083655402329,0.0007907943988344997,10000
30,80,10,0.9829387500000001,5.656590238615384,0.43126166666666665,0.0006377038913945483,0.008992682634265581,0.0010560858754962432,10000
30,90,10,0.8340066666666666,6.345872555254781,0.5895543333333333,0.0019509428399401858,0.005646901627402279,0.0011513958313616546,10000
30,100,10,0.5757710000000001,6.393773505135158,0.7280266666666666,0.002006535156020307,0.005394656066766581,0.0008929107790053831,10000
30,110,10,0.36988000000000004,6.235692510906272,0.8205326666666668,0.0014808817910526167,0.006861921942247911,0.0006366124519576133,10000
30,120,10,0.24046916666666665,6.057118770582179,0.877468,0.0010541854011210635,0.008761245516990304,0.0004693071549968858,10000
30,130,10,0.15890615384615384,5.917574921770143,0.9145610000000001,0.0007812770639972365,0.010897108490349288,0.0003709371855038652,10000
30,140,10,0.10690999999999999,5.841028872751942,0.9393126666666667,0.0005975808982087697,0.01349310673575318,0.000302215091102156,10000
30,150,10,0.07343733333333333,5.744183202063655,0.9559276666666665,0.00046140982250404884,0.016914267444621767,0.0002497883029486637,10000
30,160,10,0.050179375,5.686459204105671,0.9683029999999999,0.00036226206346640484,0.02064196534613681,0.00020864685815752043,10000
30,170,10,0.03522411764705882,5.650661941332017,0.9765636666666665,0.0002901006749903227,0.024838513196343805,0.0001769984205890109,10000
30,180,10,0.02432222222222222,5.613595424586873,0.9830666666666666,0.00023239337994438507,0.03002546456427964,0.0001488539388498372,10000
30,190,10,0.017267894736842107,5.5419393164681585,0.9874186666666668,0.0001902360015700574,0.03584243087460345,0.00012912724088632712,10000
30,200,10,0.012186,5.568493437854463,0.990711,0.00015393351863918399,0.041360120763855535,0.00011000866767555695,10000
30,210,10,0.008548095238095237,5.597354736118274,0.993152,0.00012626299432181667,0.04800749557938313,9.393108184327976e-05,10000
30,220,10,0.006015,5.501364195134576,0.995002,0.0001016096214795781,0.05492017370506718,7.902362106093504e-05,10000
30,230,10,0.004339130434782608,5.552439933940653,0.9962503333333332,8.620850086373167e-05,0.061496237413672376,6.981501749929374e-05,10000
30,240,10,0.0030670833333333336,5.432352375456818,0.9972366666666667,7.09446371160483e-05,0.07074461416001449,6.018327798760506e-05,10000
30,250,10,0.0022236,5.592817526344981,0.9979399999999999,5.9080275285804145e-05,0.08044425345352552,5.181044555342532e-05,10000
30,260,10,0.001546923076923077,5.503588033151405,0.9985056666666667,4.804757551432469e-05,0.09242212819096168,4.382338272069423e-05,10000
30,270,10,0.001097037037037037,5.412569905059176,0.9989076666666666,3.964549656910919e-05,0.10845467483077571,3.7583008376067346e-05,10000
30,280,10,0.0007939285714285714,5.485034183758545,0.9991803333333333,3.297309932353948e-05,0.12314287101202327,3.23141328335175e-05,10000
30,290,10,0.0005475862068965517,5.46671211088389,0.9994200000000001,2.6999193243242826e-05,0.13982968328463352,2.7293698873956496e-05,10000
30,300,10,0.0003876666666666667,5.485640085548427,0.9995736666666668,2.240221887065853e-05,0.1654210459771087,2.3423762202420614e-05,10000
